"","Country","Year","Total"
"1","Global",1961,3.069531
"2","Global",1962,3.118656
"3","Global",1963,3.214132
"4","Global",1964,3.314634
"5","Global",1965,3.391434
"6","Global",1966,3.4837
"7","Global",1967,3.523007
"8","Global",1968,3.640141
"9","Global",1969,3.802461
"10","Global",1970,4.031703
"11","Global",1971,4.112686
"12","Global",1972,4.220954
"13","Global",1973,4.358443
"14","Global",1974,4.259142
"15","Global",1975,4.190906
"16","Global",1976,4.343237
"17","Global",1977,4.388957
"18","Global",1978,4.447253
"19","Global",1979,4.493893
"20","Global",1980,4.388215
"21","Global",1981,4.207223
"22","Global",1982,4.098209
"23","Global",1983,4.05094
"24","Global",1984,4.117552
"25","Global",1985,4.18071
"26","Global",1986,4.16709
"27","Global",1987,4.220188
"28","Global",1988,4.307585
"29","Global",1989,4.290136
"30","Global",1990,4.280799
"31","Global",1991,4.299621
"32","Global",1992,4.110926
"33","Global",1993,4.090215
"34","Global",1994,4.057693
"35","Global",1995,4.084593
"36","Global",1996,4.14743
"37","Global",1997,4.114562
"38","Global",1998,4.044095
"39","Global",1999,4.076034
"40","Global",2000,4.139541
"41","Global",2001,4.119578
"42","Global",2002,4.163394
"43","Global",2003,4.324685
"44","Global",2004,4.422142
"45","Global",2005,4.515677
"46","Global",2006,4.606415
"47","Global",2007,4.684364
"48","Global",2008,4.710472
"49","Global",2009,4.575621
"50","Global",2010,4.776158
"51","Global",2011,4.875781
"52","Global",2012,4.887984
"53","Global",2013,4.871215
"54","Global",2014,4.847727
"55","Global",2015,4.788002
"56","Global",2016,4.728065
"57","Global",2017,4.749682
"58","Global",2018,4.792753
"59","Global",2019,4.775633
