"","Year","c02","Country"
"1",2020,7.38371541222915,"Malaysia"
"2",2019,7.46499971649816,"Malaysia"
"3",2018,7.4523713820598,"Malaysia"
"4",2017,7.03982567319804,"Malaysia"
"5",2016,7.34842125102826,"Malaysia"
"6",2015,7.60342044388986,"Malaysia"
"7",2014,7.71943595304507,"Malaysia"
"8",2013,7.40295101276076,"Malaysia"
"9",2012,6.92563492128782,"Malaysia"
"10",2011,6.93531995622416,"Malaysia"
"11",2010,6.95970722756613,"Malaysia"
"12",2009,6.43127859159965,"Malaysia"
"13",2008,7.31840781345023,"Malaysia"
"14",2007,6.99322959136745,"Malaysia"
"15",2006,6.54985834654279,"Malaysia"
"16",2005,6.44099632087228,"Malaysia"
"17",2004,6.230942287027,"Malaysia"
"18",2003,5.82107633847871,"Malaysia"
"19",2002,5.64888518954895,"Malaysia"
"20",2001,5.4989319960988,"Malaysia"
"21",2000,5.41970307450594,"Malaysia"
"22",1999,5.11674483780987,"Malaysia"
"23",1998,4.84560172782501,"Malaysia"
"24",1997,4.98914358004813,"Malaysia"
"25",1996,4.76796639923213,"Malaysia"
"26",1995,4.28616378061992,"Malaysia"
"27",1994,4.07067788000053,"Malaysia"
"28",1993,3.83433620766992,"Malaysia"
"29",1992,3.62583034179629,"Malaysia"
"30",1991,3.61295019099247,"Malaysia"
"31",1990,3.11781878391195,"Malaysia"
